college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
Jagriti Campus,"Goldhap, Haldibari, Jhapa",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,375
Kamala Science Campus,"Dhungrbas, Kamalamai, Sindhuli",Tribhuvan University,Bachelor of Science (General) (BSc),community Institution,,,34,1,307
Banshgopal Multiple Campus,"Chaughada, Hetauda, Makwanpur",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,057-530192,,34,1,227
Golmeshwar Campus,"MaLU-5, Malu, Tamakoshi, Dolakha",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,575
Kalinag Multiple Campus,"Sunkhani, Kalinchok, Dolakha",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,894
"Tripura Campus, Namdu","Namdu, Baiteshwor, Dolakha",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,660
Garuwa Multiple Campus,"Danabari, Mai, Ilam",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,258
Digam Aadarsh Multiple Campus,"Digamkot, Chatrakot, Gulmi",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Business Studies (BBS),community Institution,,,34,1,309
Gaurigung Campus,"Gauriganj, Jhapa",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Education (+2 Education) Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,023-620439,,24,1,355
Bhairab Multiple Campus,"Chhahara, Rainadevi Chhahara, Palpa",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Business Studies (BBS),community Institution,075-690050,,34,1,231
Janata Campus Morang,"Rangeli, Rangeli, Morang",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Education (+2 Education) Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,021-580324,,24,1,776
Ramailo Campus,"Bayarbana Keraun, Bayarbana, Kanepokhari, Morang",National Examinations Board,Bachelor of Business Studies (BBS) Bachelor of Arts (BA) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Education (+2 Education),community Institution,021-691839,,24,1,102
"Adarsha Multiple Campus, Dhading","Gajuri Bazar-1, Gajuri, Gajuri, Dhading",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,"010-692020, 010-402332",amc_gajuri2063@yahoo.com,34,1,343
Kantipur Campus,"Kageshwori, Manahara, Kageshwari Manahora, Kathmandu",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Bachelor of Arts (BA) Bachelor of Business Studies (BBS),community Institution,01-4450804,info@kantipurcampus.edu.np,24,1,454
Urlabari Campus,"Urlabari, Uralabari, Morang",National Examinations Board,Bachelor of Arts (BA) Bachelor of Education (BEd) Bachelor of Business Studies (BBS) Master of Education General (M.Ed) MA in Rural Development (MRD) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Education (+2 Education) Master of Business Studies (MBS),community Institution,021-540061,,24,1,964
Janakpur Campus,"Janakpur, Dhanusha",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Bachelor of Education (BEd) Master of Education General (M.Ed),community Institution,041-522417,,24,1,429
Diktel Multiple Campus,"Diktel, Rupakot Majhuwagadhi, Khotang",National Examinations Board,Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement) Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) MA in Nepali (MA Nepali) MA in Sociology MEd Nepali Language Education MEd Education Planning and Management,community Institution,036-420119,diktelcampus@gmail.com,24,1,310
Myanglung Campus,"Myanglung, Tamphula, Myanglung, Myanglung, Tehrathum",National Examinations Board,Master of Education General (M.Ed) Bachelor of Arts (BA) Bachelor of Education (BEd) Bachelor of Business Studies (BBS) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Education (+2 Education) MA in Nepali (MA Nepali) Ten Plus Two (+2) Humanities (+2 Humanities),community Institution,026-460120,,24,1,658
Sunsari Multiple Campus,"Inaruwa, Sunsari",National Examinations Board,Bachelor of Arts (BA) Bachelor of Education (BEd) Bachelor of Business Studies (BBS) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement) Master of Business Studies (MBS) Master of Education General (M.Ed) Bachelor of Information Management (BIM),community Institution,025-560009,info@smcampus.edu.np,24,1,414
Resunga Multiple Campus,"Tamghas, Resunga, Gulmi",National Examinations Board,Bachelor of Education (BEd) Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Master of Education General (M.Ed) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement) Master of Business Studies (MBS),community Institution,"079-520145, 079-521045",resungamcampus@gmail.com,24,1,908
Kapilvastu Multiple Campus,"Taulihawa, Kapilvastu",National Examinations Board,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Master of Business Studies (MBS) Master of Education General (M.Ed),community Institution,"076-560181,  076-560329",kmckpl@gmail.com,24,1,919
Ram Raja (M.B.S.) Multiple Campus,"Kalaiya, Kalaiya, Bara",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Education (+2 Education) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Master of Business Studies (MBS),community Institution,"9855045315, 9845128277",info@ramraja.edu.np,24,1,457
Nuwakot Adarsha Multiple Campus,"Batar, Bidur, Nuwakot",National Examinations Board,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Master of Business Studies (MBS) Master of Education General (M.Ed) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Humanities (+2 Humanities),community Institution,010-560157,,24,1,97
Shaheed Smarak College,"Bakhanpur, Sharada Nagar, Bakhanpur, Bharatpur, Chitwan",National Examinations Board,Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Master of Business Studies (MBS) Bachelor of Computer Application (BCA),community Institution,056-591031,info@sscbakhanpur.edu.np,24,1,50
Ghodaghodi Multiple Campus,"Sukhad, Ghodaghodi, Kailali",National Examinations Board,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Master of Business Studies (MBS) MA in Sociology MA in Anthropology (MA Anthropology) Bachelor of Education in Information Communication Technology (BICTE),community Institution,9741074074,ghodaghodimultiplecampus@gmail.com,24,1,887
Myagdi Multiple Campus,"Phulbari, Beni, Beni, Myagdi",National Examinations Board,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement) Master of Business Studies (MBS) Bachelor of Education in Information Communication Technology (BICTE),community Institution,"069-520109, 9857640188",myagdicampus@gmail.com,24,1,725
Jay Kishan Multiple Campus,"Dewahhi Gonahi, Rautahat",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Business Studies (BBS),community Institution,,,34,1,279
Buddhabhumi Campus,"Barkulpur, Kapilvastu",Tribhuvan University,Bachelor of Education (BEd) Master of Business Studies (MBS),community Institution,,,34,1,88
Buddhilal Bidya Munar Campus,"Bhagatpur, Shambhunath, Saptari",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,116
Jhimruk Multiple Campus,"Bagdula, Jhimruk, Pyuthan",Tribhuvan University,Bachelor of Business Studies (BBS),community Institution,,,34,1,40
Solukhumbu Multiple Campus,"Salleri, Solududhkunda, Solukhumbu",National Examinations Board,Bachelor of Arts (BA) Bachelor of Education (BEd) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Education (+2 Education) Bachelor of Business Studies (BBS) Master of Education General (M.Ed),community Institution,"038-520225, 038-520456",info@solucampus.edu.np,24,1,798
Nawajagrit Multiple Campus,"Tilahar, Modi, Parbat",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Business Studies (BBS),community Institution,067-690168,,34,1,943
Kushadevi Campus,"Kushadevi-7, Kushadevi, Panauti, Kavrepalanchok",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Business Studies (BBS),community Institution,011-405062,school.kushadevi@gmail.com,34,1,540
Kalika Public College,"Rambazar, Pokhara, Pokhara Lekhnath, Kaski",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,"061-431141 , 061-431836",,34,1,758
Machhapuchre Education Campus,"Annapurna Gaupalika, Pokhara, Annapurna, Kaski",Tribhuvan University,Bachelor of Education (BEd),community Institution,061-691633,,34,1,16
Shankarnagar Multiple Campus,"Shankarnagar-2, Shankarnagar, Tillotama, Rupandehi",National Examinations Board,Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement) Bachelor of Business Studies (BBS),community Institution,071-414488,,24,1,835
​Khudabagar Adarsh College,"Lumbini Sanskritik, Rupandehi",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,573
Pharsatikar Yagyodaya Multiple Campus,"Farsatikar, Pharsatikar, Sudhdhodhan, Rupandehi",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Master of Business Studies (MBS),community Institution,071-693255,,34,1,329
Jahari Campus,"Kholagaun-4, Chaurjahari, Western Rukum",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,508
Syarpu Multiple Campus,"Banphikot, Banfikot, Western Rukum",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,76
Sahid Narayan Pokharel Ramapur Campus,"Sainamaina, Sainamaina, Rupandehi",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Master of Business Studies (MBS),community Institution,071-505001,contact@snprc.edu.np,34,1,795
Sanibheri Education Campus,"Simli, Sani Bheri, Western Rukum",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,863
Simrutu Campus,"Tribeni, Western Rukum",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,953
Arunodaya College,"Gitanagar, Bharatpur, Chitwan",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,056-620340,,34,1,370
Dudiawa Multiple Campus,"Phatuwa Bijayapur, Rautahat",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,716
Banganga Multiple Campus,"Motipur, Banganga, Kapilvastu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,076-411118,,34,1,652
Kewal Ramsurat Campus,"Gujara, Rautahat",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,387
Gramin Aadarsha Multiple Campus,"Nepal Tar, Tarakeshwor, Kathmandu",National Examinations Board,Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Bachelor of Business Studies (BBS) Bachelor of Arts (BA) Bachelor of Education (BEd) Master of Education General (M.Ed) MA in Rural Development (MRD) MA in Sociology,community Institution,"01-4354124 , 01-4381704",graminadarsha@gmail.com,24,1,673
Sindureghari Multiple Campus,"Chandrapur, Rautahat",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,220
Katahariya Multiple Campus,"Katahariya, Rautahat",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,,,34,1,482
Matribhumi Campus,"Sundar Bazar, Sundarbazar, Lamjung",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Business Studies (BBS),community Institution,9841320315,,34,1,891
Manthali Sahid Smriti Multiple Campus,"Manthali-2, Manthali, Manthali, Ramechhap",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Education (BEd) Bachelor of Business Studies (BBS) Master of Education General (M.Ed),community Institution,,,34,1,621
Gaurishankar Multiple Campus,"Ramechhap Bazar, Ramechhap",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Education (BEd),community Institution,,,34,1,761
Gaumukhi Multiple Campus,"Machchhi, Okharkot, Machchhi, Jhimruk, Pyuthan",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,086-690040,,34,1,576
Kanchan Vidhya Mandir Community Campus,"Bhimdatta, Kanchanpur",National Examinations Board,Bachelor of Business Studies (BBS) Ten Plus Two (+2) Management (+2 Mangement) Master of Business Studies (MBS),community Institution,977-99-521129,info@kvmcollege.edu.np,24,1,142
Saptagandaki Multiple Campus,"Bharatpur-10, Chitwan, Bharatpur, Chitwan",National Examinations Board,Bachelor of Education (BEd) Bachelor of Arts (BA) Bachelor of Science (General) (BSc) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science) MA in Rural Development (MRD) Master of Business Studies (MBS) Master of Education General (M.Ed) Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA) Bachelor of Information Management (BIM) Bachelor of Business Administration (BBA) Bachelor of Education in Information Communication Technology (BICTE),community Institution,"056-520754, 056-522558, 056-523021",info@smc.edu.np,24,1,132
Gupteshwor Multiple Campus,"Kushma, Parbat, Kushma, Kushma, Parbat",National Examinations Board,Bachelor of Education (BEd) Bachelor of Business Studies (BBS) Bachelor of Arts (BA) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Master of Business Studies (MBS),community Institution,067-420145,info@gmckusma.edu.np,24,1,543
​Shivalaya Multiple Campus,"Kushma, Parbat",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Business Studies (BBS),community Institution,,,34,1,542
Shringeeshor Campus,"Ranibas, Ruru, Gulmi",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,079-690704,,34,1,777
Madhyabindu Multiple Campus,"Kawasoti-3, Nawalpur, Kawasoti, Nawalpur",National Examinations Board,Bachelor of Education (BEd) Bachelor of Business Administration (BBA) Bachelor of Education in Information Communication Technology (BICTE) Bachelor of Business Studies (BBS) Bachelor of Arts (BA) Master of Business Studies (MBS) Master of Education General (M.Ed) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Science (+2 Science),community Institution,"078-540473, 078-540479, 078-540351",info@madhyabindu.edu.np,24,1,488
Dillibazar Kanya Multiple Campus,"Dillibazar, Kathmandu",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Education (BEd) Bachelor of Business Studies (BBS) Master of Business Studies (MBS) MA in Sociology MA in English (MA English) Bachelor of Business Management (BBM),community Institution,"01-4417130 , 01-4418118",dkmc.college@gmail.com,34,1,313
Damak Multiple Campus,"Damak, Jhapa",National Examinations Board,BSc Environmental Science BSc Physics Master of Business Studies (MBS) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science) Bachelor of Arts (BA) Bachelor of Education (BEd) Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA) MA in Economics (MA Economics) Bachelor of Arts in Social Work (BASW) BSc Chemistry BSc Botany BSc Mathematics Bachelor of Business Administration (BBA),community Institution,"977-23-580132, 023-580528",dmcdamak@ntc.net.np,24,1,250
Tansen Multiple Campus,"Tansen-11, Kajipauwa, Tansen, Palpa",National Examinations Board,Bachelor of Education (BEd) Bachelor of Arts (BA) Master of Education General (M.Ed) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Education (+2 Education) Bachelor of Business Studies (BBS) Ten Plus Two (+2) Humanities (+2 Humanities),community Institution,"075-520597, 075-522450",tansenmultiple@gmail.com,24,1,915
Jana Adarsha Multiple Campus,"Birendranagar-2, Birendranagar, Rapti, Chitwan",National Examinations Board,Bachelor of Education (BEd) Bachelor of Business Studies (BBS) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Humanities (+2 Humanities) Master of Business Studies (MBS),community Institution,056-583023,info@jamc.edu.np,24,1,173
Palpa Multiple Campus,"Tansen, Palpa",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,"075-520107, 522121",,34,1,912
Darchha Campus,"Darchha, Rampur, Palpa",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,260
​Mahadev Multiple Campus,"Nuwakot, Nuwakot",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Business Studies (BBS),community Institution,,,34,1,686
Kishan Multiple Campus,"Mathagadhi, Palpa",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,630
Drabya Shah Multiple Campus,"Gorkha-8, Laxmi Bazar, Gorkha",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Arts (BA) Bachelor of Education (BEd) MA in Nepali (MA Nepali) Master of Business Studies (MBS),community Institution,"064-420788, 420228",drabyashah@gmail.com,34,1,382
Maiya Devi Girl's College,"Bharatpur-10, Bharatpur, Chitwan",National Examinations Board,Bachelor of Education (BEd) Bachelor of Business Studies (BBS) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Education (+2 Education) Master of Business Studies (MBS) Master of Education General (M.Ed) Bachelor of Arts (BA) Bachelor of Computer Application (BCA),community Institution,"056-524495, 056-526640",info@maiyadevigirlscollege.edu.np,24,1,131
Rambha Multiple Campus,"Rambha, Palpa",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Business Studies (BBS),community Institution,,,34,1,759
Bheemodaya Multiple Campus,"Aarughat, Aarughat, Gorkha",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,,,34,1,4
​Annapurna Multiple Campus Chitwan,"Parbatipur, Bharatpur, Chitwan",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Business Studies (BBS),community Institution,,,34,1,705
Gaurishankar Multiple Campus,"Bhimeshwor Municipality-1, Charikot, Bhimeshwor, Bhimeshwor, Dolakha",National Examinations Board,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) MEd Education Planning and Management Master of Business Studies (MBS),community Institution,049-4211240,basnetk11@yahoo.com,24,1,145
​Harikumar Smarak College,"Bharatpur, Chitwan",Tribhuvan University,Bachelor of Business Studies (BBS),community Institution,,,34,1,129
​Charikot Multiple Campus,"Lamabagar, Bhimeshwor, Dolakha",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Bachelor of Arts (BA),community Institution,,,34,1,556
Mahadev Masta Chaturdev Campus,"Ratapani, Khatyad, Mugu",Tribhuvan University,Bachelor of Education (BEd),community Institution,975800068,,34,1,781
Budhuk Campus,"Maunabudhuk-2, Maunabudhuk, Chaubise, Dhankuta",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,632
Bagiswori College,"Taulachhen, Chyamhasing, Bhaktapur",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Master of Business Studies (MBS) MA in Sociology,community Institution,"01-6610270,  01-6613041",info@bagisworicollege.edu.np,34,1,918
Dibya Jyoti Multiple Campus,"Bardghat, Bardaghat, Parasi",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Master of Business Studies (MBS) Bachelor of Business Administration (BBA),community Institution,"078-580209, 580031",dibayajyoticampus2047@gmail.com,34,1,82
​Basu College,"Kalighat, Byasi, Bhaktapur",Tribhuvan University,Bachelor of Business Studies (BBS),community Institution,,,34,1,461
​Adarsha Azad College,"Bhelukhel-11, Bhaktapur",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Business Studies (BBS),community Institution,01-6610580,,34,1,138
Aadikavi Bhanubhakta Multiple Campus,"Damauli, Byas, Tanahun",National Examinations Board,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) MA in Sociology Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Master of Business Studies (MBS) MEd Education Planning and Management MEd in English Language Education MEd Nepali Language Education Bachelor of Education in Information Communication Technology (BICTE) Ten Plus Two (+2) Science (+2 Science) Bachelor of Business Administration (BBA),community Institution,"065-560096, 065-560946, 065-560946",info@aadikavicampus.edu.np,24,1,257
Kabhre Multiple Campus,"Banepa, Kavrepalanchok",National Examinations Board,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Master of Business Studies (MBS) Bachelor of Education in Information Communication Technology (BICTE) MA in Sociology Bachelor of Computer Application (BCA),community Institution,977-11-661133,info@kavrecampus.edu.np,24,1,67
Janajyoti Multiple Campus Sarlahi,"Lalbandi, Lalbandi, Sarlahi",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Education (+2 Education) Bachelor of Arts (BA) Bachelor of Education (BEd) Bachelor of Business Studies (BBS) Master of Education General (M.Ed) Bachelor of Education in Information Communication Technology (BICTE) Master of Business Studies (MBS),community Institution,"046-501436, 046- 501550",info@jjmc.edu.np,24,1,552
Hanumanteshwar Campus,"Baiteshwor, Dolakha",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Education in Information Communication Technology (BICTE),community Institution,"993490715, 9844061317",,34,1,49
Lumbini Adarsha Degree College,"kawasoti-5, Kawasoti, Nawalpur",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Master of Education (MEd) Bachelor of Arts (BA) Bachelor of Education (BEd) Bachelor of Business Administration (BBA),community Institution,078- 540405,,24,1,974
Gauri Shanker Campus Pokhara,"Hemja, Pokhara, Pokhara Lekhnath, Kaski",National Examinations Board,Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Bachelor of Education (BEd) Bachelor of Business Studies (BBS),community Institution,,,24,1,404
Araniko College,"Barhabise, Barhabise, Sindhupalchok",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,011-489159,,34,1,87
Madan Bhandari Memorial Academy,"Mangalbare, Urlabari, Uralabari, Morang",Pokhara University,Diploma in Agriculture (Plant Science) Pre-Diploma in Civil Engineering (Civil Sub-Overseer) (Civil Sub-Overseer) Diploma in Agriculture (Animal Science) Bachelor of Civil Engineering Bachelor of Computer Engineering (BE Computer) Bachelor of Architecture (B.Arch) Diploma in Civil Engineering Master of Science in Construction Management PCL in General Medicine-Health Assistant (HA) Pre-Diploma In Livestock Production / Animal Health,community Institution,"021-410023 , 021-410213 , 021-410212",info@mbman.org.np,28,1,613
Sukuna Multiple Campus,"Indrapur, Sundarharaicha, Morang",National Examinations Board,Master of Education General (M.Ed) Bachelor of Arts (BA) Bachelor of Education (BEd) Bachelor of Business Studies (BBS) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement) Master of Business Studies (MBS) Bachelor of Education in Information Communication Technology (BICTE) Bachelor of Science (General) (BSc) Ten Plus Two (+2) Science (+2 Science) BSc Physics BSc Botany BSc Geology BSc Microbiology Bachelor of Business Administration (BBA),community Institution,"021-545617, 021-545717",info@sukuna.edu.np,24,1,415
Pathari Multiple Campus,"Pathari, Patahrishanishchare, Morang",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Master of Business Studies (MBS),community Institution,021-555480,patharicampus880@gmail.com,34,1,711
Chaumala Multiple Campus,"Chaumala-2, Chaumala, Gauriganga, Kailali",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,9848541968,,34,1,228
"​Public Campus, Biratnagar","Dhanimanigaun, Dhanimani, Morang",Purbanchal University,Bachelor of Education (BEd) Bachelor of Business Studies (BBS),community Institution,"021-524955,021-524483",,29,1,284
​Nirmal Multiple Campus,"Basamadhi-2, Bastipur, Basamadhi, Hetauda, Makwanpur",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Arts (BA) Bachelor of Business Studies (BBS),community Institution,,,34,1,90
Seti Goan Multiple Campus,"Dilasaini, Baitadi",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,,,34,1,311
Tilottama Campus,"Yogikuti, Butwal, Tillotama, Rupandehi",Pokhara University,Bachelor of Business Administration (BBA),community Institution,"071-437659, 071-438559",info@tilottama.edu.np,28,1,972
Kankai Multiple Campus,"Surunga, Kankai, Jhapa",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Education (+2 Education) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Bachelor of Arts (BA) Master of Education General (M.Ed) Master of Business Studies (MBS) Ten Plus Two (+2) Humanities (+2 Humanities),community Institution,023-550153,kanakai.campus47@gmail.com,24,1,899
Kolhuwa Multiple Campus,"Kolhuwa-5, Kolhuwa, Madhyabindu, Nawalpur",Tribhuvan University,Bachelor of Business Studies (BBS),community Institution,,,34,1,523
Daunedevi Multiple Campus,"Bardaghat, Bardaghat, Parasi",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd),community Institution,,,34,1,81
​Mangala Shiksha Campus,"Babiyachour-5, Babiyachour, Mangala, Myagdi",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,30
Shahid Smarak College,"Kirtipur, Kathmandu",National Examinations Board,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Management (+2 Mangement) Bachelor of Computer Application (BCA) Bachelor of Arts in Social Work (BASW),community Institution,"01-333937, 01-4330279",info@sscollege.com.np,24,1,515
Budhanilkantha Campus,"Narayansthan, Budhanilakantha, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Bachelor of Arts (BA),community Institution,"01 4370296 , 01 4379576",info@budhanilkanthahigher.edu.np,34,1,664
​Bagmati Community Campus,"Shantinagar, Kathmandu",Tribhuvan University,Bachelor of Education (BEd),community Institution,,,34,1,843
Chiran Milan Bishwa Shanti Campus,"Bansbari, Kapanmarg, Kathmandu",National Examinations Board,Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Management (+2 Mangement) Bachelor of Arts (BA) Bachelor of Business Studies (BBS),community Institution,01-4017015,cmbscampus@yahoo.com,24,1,78
​Sahayogi Multiple Campus,"Gokarna, Gokarneshwar, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS),community Institution,,,34,1,373
Ganeshman Singh Multiple Campus,"Kalimati, Kathmandu",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Bachelor of Arts (BA) Bachelor of Computer Application (BCA),community Institution,"01-4275240 , 01-4234240",,24,1,467
